Year,Text
2002,"Globalization—the growing integration of economies and societies around the world resulting from increased flows of trade, capital, people, and ideas— remains one of the most debated issues of our time. The World Bank has made important contributions to the discussion of globalization in the areas of research and ideas. In fiscal 2002 the Bank published the Policy Research Report Globalization, Growth, and Poverty: Building an Inclusive World Economy. The report summarized the findings pf a large-scale Bank research program on the various dimensions of globalization. The study found no evidence that there is growing inequality within thejtypical developing country that is opening up to the global economy. In fact, some of the fastest-growing locations in the world are places in the developing world that were extremely poor ,20 years ago but that have made serious efforts to integrate with the world market. Bangladesh, China, India, Uganda, and Vietnam are all examples of globalizing developing countries that have experienced unprece-"
2002,"The growing awareness that the efficient use of knowledge makes the Bank a more effective institution has led to the mainstreaming of capacity building in its operational work. For example, a “knowledge economy assessment tool” is being used to help countries diagnose their policy and investment needs as they enter the global economy. In fiscal 2002 knowledge assessments were completed for China and the Republic of Korea, and they are under way in the Russian Federation and EU accession countries."
2002,"The Global Development Learning Network (GDLN), a rapidly expanding network of distance-learning centers, uses videoconferencing and other technologies to share learning activities worldwide. Thirty-seven GDLN sites are now operating, and an additional 42 are under development. In China the distance-learning center hub in Beijing is linked with a regional center in Ningxia via a high-speed fiber network: the China Education and Research Network is creating a network of networks, reaching out to universities throughout China. WBI’s partnership with TEC de Monterrey in Mexico also provides access to more than 500 downlink points in Latin America and the Caribbean."
2002,"In addition to the World Bank, Founding Members of the Foundation include the governments of Australia, China, Germany, India, Italy, Japan, the Republic of Korea, Mali (sponsored by the Netherlands), Pakistan, and Rwanda. Founding Members contribute at least $5 million (in cash or in kind) over a three-year period."
2002,"The percentage of the world’s population living on less than $1 per day fell from 29 percent in 1990 to 23 percent in 1999. However, almost all of the reduction in the number of people living in extreme poverty was in East Asia and Pacific, where China has made rapid progress. In Europe and Central Asia the number and proportion living in extreme poverty have increased. Elsewhere the poverty ratio has decreased, but the absolute number of people in dire poverty increased. The result has been little change in the number of poor people in the world—about 1.2 billion. And the number of people living on less than $2 per day, a more realistic poverty line in many countries, increased from 2.7 billion to 2.8 billion from 1990 to 1999."
2002,"More than 30 countries are benefiting from Bank financing for the adoption and expansion of the TB control strategy known as DOTS—directly observed treatment, short course. More specifically, the second TB Control Project in China builds on a previous operation that demonstrated the successful application of DOTS on a massive scale. This project is also innovative: it involves cofinancing from the United Kingdom’s Department for International Development to reduce the interest burden on the Chinese government. In addition, support for rolling back malaria through Bank operations includes some 45 active projects, and the Bank is helping to ensure malaria is a priority in its work through sectorwide approaches (SWAPs), PRSPs, the Comprehensive Development Framework, and HIPC."
2002,"A Business Primer Fund has also been set up to spur work on cross-sector issues. PSI has established partnerships with different country teams to enhance its support for the preparation of Poverty Reduction Strategy Papers. Such efforts are currently under way with poverty reduction strategies for the Democratic Republic of Congo, Cote d’Ivoire, Ethiopia, and Nigeria. The network is also coordinating upstream interventions in key CASs in China, Colombia, Mexico, Pakistan, the Philippines, the Russian Federation, and Thailand."
2002,"The East Asia and Pacific region was hard hit by the global economic downturn of 2001. Growth fell from over 7 percent to less than 5 percent. But a quicker and more robust regional recovery appeared to be under way by early 2002, supported by a stronger-than-expected recovery in major export markets like the United States and solid local private consumer spending. A more balanced recovery resting on increased exports and domestic demand seemed likely. Political stability improved as new governments in Indonesia, the Philippines, and Thailand strengthened their mandates and their credibility with the public. China’s still-robust economy was pulling in imports at a near-10 percent pace in the first several months of 2002 and continued as a bright spot in the regional export and economic picture, enhanced by the anticipated impact of China’s entry into the World Trade Organization (WTO), the increased pace of its institutional reform program, and its emergence as a key center of regional trade and investment flows."
2002,"The impact of the 2001 downturn on poverty in East Asia and Pacific was muted because growth fell most in countries with low poverty. Robust growth in China and other transition countries, which contain the large majority of the region’s poor, helped offset any widening income disparities. Still, a sustained regional recovery is important to counter the long-term trend of slow poverty reduction since the mid-1990s—and to ensure that countries in East Asia remain on track to achieve the Millennium Development Goals (MDGs)."
2002,"A schoolgirl studying in Ningxia Province, China, at a school whose village is benefiting from the Qinba Mountains Poverty Project, which is helping the Chinese government improve the quality of and access to basic education."
2002,"Domestic business revitalization and recovery in private capital flows call for more emphasis on strengthening the investment climate. The Bank is preparing a legal reform loan in Mongolia and is undertaking legal needs assessments in a number of countries, including Vietnam. In China the Bank is providing technical assistance on financial sector reform, access by small and medium enterprises to financial services, government bond market development, and securities market regulation—reforms made all the more urgent by China’s accession to the WTO."
2002,"To help regional competitiveness and to meet high-tech challenges, the Bank is investing in information infrastructure, technology innovation and adaptation, and skills development. It is sponsoring country Innovation Days as part of the global Development Marketplace—a competition encouraging innovation and creative partnerships among nongovernmental organizations, businesses, and government. In Thailand it is funding 16 proposals to increase access to information services in rural communities in order to help bridge the urban-rural digital divide. A new report analyzes the Republic of Korea’s experience with firm innovation and its implications for public policy. The Bank carried out assessments of transportation and logistics in Cambodia, and in lagging regions of China, the Lao People’s Democratic Republic, Mongolia, and Vietnam, to identify ways to improve access to markets for low-income areas."
2002,"The Bank’s governance work focuses on decentralization, building subnational capacity, increasing public sector transparency and accountability, and fostering stakeholder participation in project design and implementation. Public expenditure reviews at the local government level are taking place in China and Indonesia. In Thailand the Country Development Partnership in Governance supports government efforts to improve the delivery of public services, strengthen government decisionmaking, and promote accountability and transparency."
2002,In China the Bank is working with the government to update the Ministry of Finance’s competitive bidding guidelines by introducing fraud and anticorruption measures. It is also helping to improve
2002,"promote efficiency, transparency, and effectiveness. In China the Bank has embarked on a unique partnership with DfID, the British government aid arm, to finance a tuberculosis (TB) control project aimed at helping China meet its global TB targets by 2005 by expanding directly observed treatment, short course (DOTS) to at least 90 percent of the country’s population and identifying and treating 2 million infections."
2002,"The Bank has also been channeling support to areas of extreme poverty. In Indonesia, to improve road conditions in its lagging eastern region, a regional transportation project will serve 15 provinces in the eastern islands. In Vietnam the Rural Electrification Project aims to bring electricity to 2 million people in 32 provinces and 671 communities, one-third of which are designated as the poorest. A Global Development Learning Center has been opened in Ningxia to transfer knowledge to one of the poorest parts of China."
2002,"More than 30 countries are benefiting from Bank financing for the adoption and expansion of the TB control strategy known as DOTS—directly observed treatment, short course. More specifically, the second TB Control Project in China builds on a previous operation that demonstrated the successful application of DOTS on a massive scale. This project is also innovative: it involves cofinancing from the United Kingdom’s Department for International Development to reduce the interest burden on the Chinese government. In addition, support for rolling back malaria through Bank operations includes some 45 active projects, and the Bank is helping to ensure malaria is a priority in its work through sectorwide approaches (SWAPs), PRSPs, the Comprehensive Development Framework, and HIPC."
2002,"A schoolgirl studying in Ningxia Province, China, at a school whose village is benefiting from the Qinba Mountains Poverty Project, which is helping the Chinese government improve the quality of and access to basic education."
2002,"Developed countries acknowledge that they must provide more and better aid, improve policy coherence, and, critically, move forward on trade policies in support of development. In particular, it is essential to address policies that limit markets for developing countries’ products. Without greater access to global markets and the growth in trade that follows, many"
2002,"The Monterrey Consensus was a historic step forward. At last developing countries saw the promise of a turnaround in the access to trade and in the volume of aid, as an additional $12 billion was pledged by donor countries over the next three years. The challenge before us now is to translate the new global development partnership into action, redoubling our efforts on the part of developing countries and the broader international community."
2002,"The Bank addresses global issues where common action can alleviate adverse conditions that all developing countries share. Five areas requiring specific attention are communicable diseases, the environment, trade and integration, information and knowledge, and international financial architecture. Communicable disease priorities include fighting human immunodeficiency virus/acquired immune deficiency syndrome (HIV/AIDS), tuberculosis, malaria, and childhood diseases, as well as promoting vaccines and drug development to combat major communicable diseases. Environmental priorities include addressing climate change, access to water, protection of forests, biodiversity, ozone depletion, and land degradation; and promoting agricultural research. Trade activities aspire to help make the world trading system more conducive to development by promoting market access by developing countries and fostering their effective participation"
2002,"in global and regional trade negotiations. At the national level, activities are aimed at helping developing countries harness trade by integrating pro-poor reforms into their national development and poverty reduction strategies. (See box 1.1, Globalization and Trade.) Information and knowledge priorities include redressing the digital divide and equipping countries with the capacity to access knowledge, and promoting the understanding of development and poverty reduction. Financial architecture includes developing international standards, financial stability, and international accounting and legal frameworks."
2002,BOX 1.1 GLOBALIZATION AND TRADE
2002,"Globalization—the growing integration of economies and societies around the world resulting from increased flows of trade, capital, people, and ideas— remains one of the most debated issues of our time. The World Bank has made important contributions to the discussion of globalization in the areas of research and ideas. In fiscal 2002 the Bank published the Policy Research Report Globalization, Growth, and Poverty: Building an Inclusive World Economy. The report summarized the findings pf a large-scale Bank research program on the various dimensions of globalization. The study found no evidence that there is growing inequality within thejtypical developing country that is opening up to the global economy. In fact, some of the fastest-growing locations in the world are places in the developing world that were extremely poor ,20 years ago but that have made serious efforts to integrate with the world market. Bangladesh, China, India, Uganda, and Vietnam are all examples of globalizing developing countries that have experienced unprece-"
2002,"Two of the research findings from the Bank's work on globalization have shed light on crucial tasks that would enable more poor countries to participate in and benefit from globalization. This has helped sharpen the institution's strategic focus. The first issue is the improvement of the investment climate. Many developing countries have carried out first-generation reforms, including liberalization of formal trade policies. The locations that benefit the most from these reforms are those that have reasonably good investment climates: a regulatory environment in which firms can start up, increase productivity, and expand; efficient public services, such as customs administration; and complementary infrastructure, such as power, ports, and telecommunications—services that can be provided by the private sector given a proper legal and regulatory framework."
2002,"A second important issue that has been highlighted by the work on globalization concerns social services and social protection. Integration with the global economy leads developing countries to grow faster because it creates a more dynamic environment in which there is greater competition and entry and exit of firms. But this dynamism has a clear social cost: there will be more turnover in the labor market, highlighting the need for good social protection. Furthermore, the jobs created in developing countries as a result of foreign trade and investment will generally have higher skill requirements than most existing jobs. This upgrading can be a powerful force for aggregate productivity growth, but it is crucially important that it be supported by a good educational system and that the poor, in particular, have good access to basic education."
2002,The Global Arcnitecture ot Trade
2002,"An important role for the Bank is trade advocacy on behalf of developing countries. While developed countries have low trade protection, on average, the areas where they maintain protection are exactly the sectors where poor countries are potentially competitive, namely agriculture and labor-intensive manufactures. These sectors confront the greatest trade barriers, putting the world's poor at a particular disadvantage. According to estimates in the Bank's Global Economic Prospects 2002, the average poor person selling into globalized markets confronts barriers that are roughly twice as high as those facing the typical nonpoor worker. In general, tariffs in high-income countries on imports"
2002,"The Bank's research has highlighted the cost to developing countries of Organisation for Economic Co-operation and Development protection of textiles and garments, and subsidies to agriculture. It also points out the potential costs to developing countries from the TRIPS (Trade-Related Aspects of Intellectual Property Rights) Agreement, which requires 20-year patents on pharmaceutical products and imposes new legal and administrative costs on developing countries. The Bank has called for better market access by poor countries and for reform of TRIPS implementation to ensure access of poor countries to essential drugs."
2002,"Protection is not an issue solely for high-income countries, however. Developing countries have also placed high barriers on agricultural products, laborintensive manufactured goods, and other products and services. Developing-country tariffs in manufacturing are, on average, four times higher for imports from developing countries than are tariffs in industrial countries on imports from developing countries. Also, restrictions on services trade are usually more common in developing countries than in industrial countries."
2002,"Global Economic Prospects 2002 makes a case for reshaping the global architecture of world trade to promote development and poverty reduction by focusing on four policies: using the World Trade Organization (WTO) ministerial to launch a development round of trade negotiations that would reduce global trade barriers; engaging in global collective action to promote trade outside the negotiating framework of the WTO, including increasing multilateral aid-for-trade assistance; adopting protrade development policies of high-income countries unilaterally; and enacting new trade reforms in developing countries. Some 2.8 billion people live on less than $2 a day. The current projected baseline growth could reduce poverty by 600 million to"
2002,"2.2	billion by 2015. The report argues that seizing the opportunity to reshape the global trade architecture in this way would enable developing countries to grow at rates that could reduce such poverty to 1.9 billion by 2015, effectively lifting an additional 300 million people above the $2-a-day poverty line."
2002,"Adjustment loans provide quick-disbursing external financing to support policy and institutional reforms. Adjustment loans were originally designed to provide short-term balance of payments support for macroeconomic policy reforms, including reforms in trade policy. Over time they have evolved to focus more on medium-term structural and institutional reforms in the financial sector, social policy, and public sector resource management."
2002,"■	In March 2002 more than 50 heads of state gathered in Monterrey, Mexico, at the Financing for Development Conference, where they adopted the Monterrey Consensus, which calls for freeing trade, increasing aid, and reducing external debt to sustainable levels in order to provide countries that follow sound policies and good governance with the means to obtain the Millennium Development Goals. An additional $12 billion in aid over the next three years was pledged by donor countries at the conference."
2002,Trade and Integration
2002,Health and Other Social Services Industry and Trade Energy and Mining Transportation
2002,"The Bank has worked with partners to divide responsibility for some diagnostic ESW at the country level, and to enable joint preparation and wider dissemination of the diagnostic work. Particular emphasis in fiscal 2002 was placed on trade, the investment climate, the MDGs, cross-country benchmarking,"
2002,"and basic service delivery (to be examined in World Development Report 2004). Joint programs are being carried out between the Private Sector Development and Infrastructure Network and the Development Economics and Data Group (DECDG) on trade, the Human Development Network and DECDG on the MDGs, and among the Poverty Reduction and Economic Management Network, the World Bank Institute (WBI), and DECDG on PRSPs and other cross-sectoral issues."
2002,"ment favors aid effectiveness and where the Bank’s presence will have a high impact. To address the needs of countries with weak institutions and poor policy environments where development assistance is urgently needed but likely to have little impact, the Bank is exploring ways to adapt its assistance instruments to countries’ specific needs. Corporate advocacy priorities help the Bank to incorporate the twin pillars of its development strategy into its country level work. Selectivity at the global level reflects the Bank’s global public goods priorities: communicable diseases, the environment, trade and integration, information and knowledge, and international financial architecture. The Bank’s Global Public Goods Incentive Fund, launched in 2001, helped to achieve a stronger link between global and country programs. Box 2.2 describes the Bank’s CDF."
2002,"The partnership with OECD has deepened and broadened considerably in recent years, with the objective of maximizing complementary activities and synergies and minimizing duplication. Collaboration with the organization’s DAC has been an especially important focus of this partnership. DAC provides a forum for OECD members to achieve, as bilateral donors, greater coherence and convergence in their development programs. The DAC Guidelines on Poverty Reduction have been the basis for the remarkable degree of convergence and consensus among the bilateral donors for the CDF-PRSP approach, who have expressed an intention to align aid programs within the PRSP framework and to untie their aid to least-developed countries. Beyond low-income countries, the Bank collaborates with the OECD on a broad agenda including trade, environment, corporate governance, anticorruption, and the"
2002,"But not all developing countries have enjoyed such progress. For example, Africa as a region saw no increase in its overall per capita income between 1965 and 1999, despite significant improvements in certain social indicators. And in Africa and elsewhere, too many countries have suffered deteriorations in economic and social conditions over long periods. The challenges are not just economic and technical but also political, social, institutional, and financial. Even in numerous countries that have worked hard to reform policies (for example, by achieving macroeconomic stability and increasing openness and competition), an unfinished agenda in governance and institutional reform has hampered economic growth and limited poverty reduction. External factors such as Organisation for Economic Co-operation and Development (OECD) agricultural subsidies and trade barriers have impeded developing countries’ efforts to integrate and develop. Mistakes by the donor community—such"
2002,"The magnitude of the challenge as articulated in the MDGs is daunting and will continue to grow as developing countries’ populations grow by an estimated 2 billion over the next 30 years. A new international commitment and increased understanding of development effectiveness means that the scale of response can rise to meet the challenge. The response, as articulated in the Monterrey Consensus, involves reforms in developing countries themselves as well as in the international economy, particularly in the areas of trade and aid."
2002,"Sustained economic growth remains critical for poverty reduction. Without it, poor people’s prospects for greater opportunity, empowerment, and security— essential elements of the strategy for poverty reduction described in the World Development Report 2000/2001—will be harder to realize. Thus growth is a necessary condition for attacking poverty—but it is not a sufficient one. Bank poverty reduction activities therefore extend beyond supporting growth in member countries to fostering poor countries’ leadership in poverty reduction strategy making, addressing gender inequalities, investing in poor people and empowering them, supporting key aspects of good governance and institutional reform, and helping countries participate effectively in the global trading system. Highlights of activities in these areas during fiscal 2002 included conducting (jointly with the International Monetary Fund [IMF]) a comprehensive review of the Poverty Reduction Strategy Paper (PRSP) approach, launching a strategy to integrate gender into the mainstream of Bank lending and nonlending work, and designing a framework for empowerment strategies. Meanwhile, responding to the challenge of the World Trade Organization (WTO) ministerial meeting in Doha, Qatar, the Bank stepped up its efforts to help developing countries benefit from the world trade system."
2002,TRADE
2002,"While openness to trade can be an important spur to growth, trade liberalization alone is insufficient for generating widely shared income gains. The Bank’s trade-related activities seek to improve understanding of the conditions that lead from openness to growth and poverty reduction, and to help integrate development considerations into international collective actions on trade—and trade into development strategies (see box 4.2)."
